entry_id,account,gross_value,entry_date
TXN-E546F2C5,M-600,36155.52,12.08.2026
90244B5A,M-959,26435.25,18.08.2026
TXN-5C4D325D,M-169,31719.73,14.08.2026
TXN-BE8AAFA8,M-732,18973.43,07.08.2026
TXN-28F94E51,M-644,1278.72,16.08.2026
TXN-35A59729,M-393,14099.67,01.08.2026
TXN-154A822D,M-636,45943.42,14.08.2026
TXN-19BBC830,M-462,12994.7,07.08.2026
TXN-D55CD48C,M-570,47985.24,13.08.2026
TXN-4F24C4A5,M-769,42469.42,10.08.2026
TXN-DF7796FF,M-665,19273.57,02.08.2026
CBA26EA4,M-760,42343.82,06.08.2026
TXN-E7F89053,M-680,43471.79,08.08.2026
TXN-E56E5ACD,M-656,14378.46,03.08.2026
TXN-E63E42F0,M-701,48092.72,06.08.2026
TXN-86D73D9E,M-346,8541.29,13.08.2026
A9F8C9BF,M-243,37902.66,18.08.2026
TXN-65157CF4,M-177,11991.13,02.08.2026
TXN-F035B838,M-434,48461.57,20.08.2026
TXN-9703A653,M-489,29500.82,14.08.2026
TXN-30AD8F79,M-175,12699.26,20.08.2026
TXN-1CCEDC99,M-257,39302.57,05.08.2026
TXN-8292FECC,M-415,757.16,12.08.2026
TXN-731E9A70,M-541,4821.21,09.08.2026
TXN-C9284266,M-191,5613.0,18.08.2026
TXN-E64C6F07,M-984,39329.72,03.08.2026
TXN-D2145D9C,M-489,8894.35,08.08.2026
TXN-163AA767,M-164,24909.64,09.08.2026
TXN-884D14BA,M-178,24469.45,09.08.2026
TXN-21CEAB48,M-731,25042.22,08.08.2026
TXN-74F9D751,M-505,834.98,04.08.2026
TXN-2336ADD5,M-550,43178.82,20.08.2026
TXN-842CC16A,M-811,16372.93,20.08.2026
TXN-6517FFAA,M-398,48451.9,11.08.2026
TXN-6C51497F,M-485,12500.0,16.08.2026
TXN-0782624F,M-304,46637.32,13.08.2026
TXN-DC6BC351,M-825,23350.3,18.08.2026
TXN-D64D080B ,M-914,41038.8,10.08.2026
TXN-25EE74CC,M-832,33103.82,10.08.2026
TXN-C0AEDDF7,M-590,49539.68,13.08.2026
TXN-96465921,M-818,48437.19,18.08.2026
txn-b46edad5,M-211,45762.86,18.08.2026
TXN-7AC26321,M-793,49188.61,20.08.2026
TXN-63D924AF,M-327,5381.02,14.08.2026
TXN-A18EE96F,M-795,23421.63,15.08.2026
TXN-131705B6,M-245,47063.47,03.08.2026
TXN-009C3678,M-594,10739.93,11.08.2026
TXN-17C183BA,M-426,34989.78,04.08.2026
TXN-3C5F0BA9,M-451,1617.96,02.08.2026
TXN-B3854923,M-665,26041.7,06.08.2026
TXN-7CA84D32,M-514,11976.85,18.08.2026
TXN-1D70C66D,M-302,37000.72,14.08.2026
TXN-F7CE8D9D,M-310,35384.41,14.08.2026
TXN-D1D41042,M-649,40075.37,03.08.2026
TXN-07315AD0,M-786,6140.77,11.08.2026
TXN-7C6964CC,M-725,30050.06,17.08.2026
TXN-AAE1685A,M-732,42353.13,04.08.2026
TXN-7FB69563,M-237,4695.22,10.08.2026
TXN-3C8ED3EA,M-810,9560.7,08.08.2026
TXN-96B1FB12,M-492,7324.43,13.08.2026
TXN-53587D34,M-243,24737.28,06.08.2026
TXN-35075909,M-109,43343.35,15.08.2026
TXN-EC7FEF63,M-518,32826.95,13.08.2026
GW/TXN-FC5897F5,M-131,4592.2,15.08.2026
TXN-0620E9D8 ,M-272,27111.63,02.08.2026
TXN-39FE99DB,M-943,38868.09,19.08.2026
TXN-0DCDBE4E,M-659,36089.52,18.08.2026
TXN-8EF95A66,M-869,41588.5,14.08.2026
TXN-F0743A74,M-936,17754.56,02.08.2026
TXN-FFD789F3,M-702,40629.78,04.08.2026
GW/TXN-8F3BCED2,M-242,8716.09,20.08.2026
TXN-169FB9C8,M-651,14413.71,19.08.2026
TXN-2CD4AAAC,M-978,13733.48,10.08.2026
TXN-2451C65C,M-383,3434.65,05.08.2026
TXN-E3A6DA18,M-249,7068.2,05.08.2026
TXN-20D475A6,M-375,29082.56,13.08.2026
TXN-8F7CEE93,M-887,39832.63,15.08.2026
TXN-43350398,M-998,34887.83,17.08.2026
AE75B5B5,M-892,622.42,16.08.2026
TXN-77D21923,M-390,16481.82,07.08.2026
TXN-5FD3D9E5,M-907,42694.92,19.08.2026
TXN-9B019B27,M-956,31495.89,02.08.2026
TXN-994E1CCD,M-538,533.46,06.08.2026
TXN-8E07D6AB,M-997,8369.38,05.08.2026
TXN-094FDA5E,M-764,18906.27,12.08.2026
TXN-AA799333,M-873,36436.42,13.08.2026
TXN-642F5266,M-588,553.77,03.08.2026
TXN-8D7F96E8,M-109,34159.14,19.08.2026
TXN-51D9B3A3,M-235,21404.54,11.08.2026
TXN-7168EBF1,M-205,40394.86,13.08.2026
TXN-096E80B0,M-871,38786.29,10.08.2026
TXN-401F0803,M-724,28382.92,05.08.2026
TXN-27A3FAEF,M-188,43068.14,20.08.2026
TXN-850BE13F,M-186,14209.9,11.08.2026
TXN-E9B195AB,M-630,15431.64,01.08.2026
TXN-63B786FF,M-753,12433.55,16.08.2026
TXN-3B3A63B5,M-959,19648.49,12.08.2026
TXN-6AB74D72,M-888,38254.93,18.08.2026
TXN-05F36699 ,M-613,31614.25,13.08.2026
TXN-8FA17D70,M-256,27113.94,03.08.2026
TXN-00BA7ED0,M-927,46085.78,10.08.2026
TXN-2CE7A8AC,M-954,31897.57,11.08.2026
TXN-0965AECA,M-966,22155.56,03.08.2026
TXN-D458E85C,M-564,22006.94,08.08.2026
TXN-7C71C2F1,M-279,33073.59,10.08.2026
TXN-32EDE8C2,M-455,8609.72,05.08.2026
TXN-4B0E95C8,M-994,37613.93,06.08.2026
TXN-1F22E802,M-378,40451.84,04.08.2026
TXN-98FF3192,M-623,25059.3,19.08.2026
EDEE1297,M-361,18700.55,16.08.2026
TXN-02E8F1F2,M-112,43005.11,17.08.2026
TXN-94CCD1E6,M-858,45740.41,02.08.2026
TXN-F013F3AB,M-427,45834.81,11.08.2026
TXN-E8726F60,M-965,14474.19,03.08.2026
TXN-43A52BA8,M-305,894.47,03.08.2026
TXN-D9DAB601,M-477,12507.91,10.08.2026
TXN-455B2F14,M-915,27554.68,07.08.2026
TXN-7273B391,M-454,12033.39,01.08.2026
txn-29452b4f,M-485,38066.99,01.08.2026
TXN-881065B5,M-161,21280.88,07.08.2026
TXN-824D1C55,M-337,5104.82,05.08.2026
TXN-EF9CB14C,M-569,44831.11,17.08.2026
2FB0B598,M-752,25518.67,03.08.2026
TXN-5DFF90A9,M-367,12220.2,14.08.2026
TXN-3E170ED9,M-425,36899.97,13.08.2026
TXN-E7797820,M-698,39106.88,03.08.2026
TXN-5312D6B2,M-516,23569.73,04.08.2026
TXN-FE96B01D,M-371,15761.23,12.08.2026
TXN-83D21971,M-946,34459.71,03.08.2026
TXN-214FEF0D,M-251,42900.38,02.08.2026
TXN-1A9B1ED0,M-793,25916.25,08.08.2026
TXN-6F178D78,M-669,42802.76,06.08.2026
TXN-4C58F26B,M-243,40292.89,04.08.2026
TXN-B068560A,M-510,10307.59,02.08.2026
