settlement_ref,credited_amount,settled_on
TXN-9FA4A08A,26758.89,2026-08-01
C19B00D9,15926.05,2026-08-11
TXN-671B3E1F,31082.99,2026-08-05
TXN-6F548439,24540.25,2026-08-15
TXN-016C7928,17586.06,2026-08-07
TXN-CE584104,33523.06,2026-08-19
txn-41189ab3,10618.94,2026-08-20
TXN-8DB7A670,25120.57,2026-08-11
AF0E76A8,11890.48,2026-08-13
TXN-5B115FFD,28295.61,2026-08-11
txn-99ba6b5c,48326.88,2026-08-04
TXN-0FF0EA7F,5740.23,2026-08-04
0D01E7C9,17305.91,2026-08-13
TXN-936D43F9,45343.18,2026-08-17
TXN-B2A2EED9,7748.99,2026-08-05
TXN-7CC1D3AE,9073.36,2026-08-05
TXN-52691C80,33526.29,2026-08-19
TXN-99961F63,7972.39,2026-08-14
TXN-CB251E9E,17921.14,2026-08-09
TXN-AC6D2757,18752.51,2026-08-15
TXN-98276966,25599.86,2026-08-04
TXN-D9A23D2B,9817.85,2026-08-17
TXN-62F7BCEE,40642.86,2026-08-02
TXN-DF9F2A86,8850.84,2026-08-03
TXN-FAF9C9F7,17249.17,2026-08-13
TXN-FD9DF43E,5178.04,2026-08-11
TXN-0A299336,32999.92,2026-08-09
TXN-E0C8BC23,33348.8,2026-08-11
TXN-D7A10AAE,35587.28,2026-08-13
TXN-8D6070D1,16418.9,2026-08-13
TXN-FD992CC1,33687.57,2026-08-17
TXN-550F6DCA,47582.88,2026-08-12
TXN-1C596405,49998.84,2026-08-16
TXN-D4D7E69B,27218.65,2026-08-04
TXN-99E725F0,43881.44,2026-08-02
TXN-670BCFA3 ,9451.88,2026-08-13
TXN-F07C065E,33979.96,2026-08-02
TXN-C7A1C7A7,37552.56,2026-08-20
TXN-5512EAE8,39326.33,2026-08-08
TXN-97D04EBD,38587.21,2026-08-19
TXN-02496346,40107.4,2026-08-17
TXN-C185223F,4651.82,2026-08-17
CC45676E,22154.89,2026-08-17
TXN-C974DAC2,25349.35,2026-08-14
GW/TXN-CDB6F8C2,1895.28,2026-08-03
TXN-51F309E7,44992.84,2026-08-05
TXN-6AC11EDC,759.93,2026-08-16
TXN-5E026F40,47041.18,2026-08-08
TXN-FBE27BCF,6531.49,2026-08-10
TXN-B191AE86,5987.47,2026-08-21
TXN-A9B527D0,36067.94,2026-08-17
TXN-A3D8045A,28172.84,2026-08-20
TXN-E0EFA300,47693.48,2026-08-18
TXN-1CBE0728,31965.7,2026-08-13
TXN-5D460242,3761.82,2026-08-01
TXN-F182EB5B,37955.61,2026-08-04
TXN-0ACF594F ,32318.38,2026-08-18
TXN-B5D38858,35944.23,2026-08-06
TXN-26F9C313,10373.76,2026-08-07
TXN-FBA6D623,49461.57,2026-08-11
TXN-078FEDCB,43175.86,2026-08-07
TXN-2FA82B66,40067.45,2026-08-11
TXN-10DB342D,47715.33,2026-08-15
TXN-096FA59F,4589.27,2026-08-17
TXN-E6232D37,15041.44,2026-08-20
TXN-AE59F2C3,30329.77,2026-08-10
TXN-51BCD233,32153.73,2026-08-20
ADB44721,20607.41,2026-08-03
TXN-22B126FA,39174.94,2026-08-05
TXN-BEA51363,18426.45,2026-08-08
TXN-04C69F21,47466.76,2026-08-05
TXN-4AFB19FA,26708.26,2026-08-03
TXN-4A5E3E0D,1782.71,2026-08-13
TXN-1FD32069,38860.74,2026-08-18
TXN-67381768,45865.71,2026-08-20
TXN-6A934686,9046.49,2026-08-05
TXN-1523A667,49335.45,2026-08-03
TXN-B558226C,14872.93,2026-08-03
TXN-7C99414F ,11599.96,2026-08-06
0CDF26F8,28827.73,2026-08-01
TXN-714AC47B,49979.95,2026-08-07
TXN-0EEC46E7,6559.61,2026-08-14
GW/TXN-EDBBE2A0,17553.48,2026-08-15
TXN-F02E63F5,43476.48,2026-08-14
TXN-B4813453,8517.36,2026-08-05
TXN-B28AED50,4310.0,2026-08-17
TXN-9B95FAE9,15489.82,2026-08-09
TXN-BA38CCB4,7964.47,2026-08-06
TXN-48787FF3,41349.2,2026-08-11
TXN-CA4D7CEE,10935.01,2026-08-19
TXN-CDD52C41,30903.73,2026-08-01
TXN-771AB1A7,40463.79,2026-08-16
TXN-B71D0CA6,8324.98,2026-08-05
TXN-52E5FD7F,15972.83,2026-08-11
TXN-7DFEB291,38152.92,2026-08-15
TXN-88CE8004,13739.85,2026-08-08
TXN-D85B8811,43276.11,2026-08-02
TXN-455AF270,29095.51,2026-08-06
TXN-82483819,23607.35,2026-08-07
TXN-69C23AD0,48350.99,2026-08-14
TXN-124BBE27,29465.64,2026-08-02
TXN-ED1EC1AD,42435.03,2026-08-10
TXN-A0F6E0F5,38310.91,2026-08-09
TXN-2253D659,10135.44,2026-08-02
GW/TXN-1B63259B,38338.0,2026-08-13
TXN-E28F2FF2,39847.41,2026-08-07
TXN-109A68AD,25701.56,2026-08-05
TXN-EFEED3A7,16985.51,2026-08-04
TXN-F90FF257,16734.31,2026-08-20
TXN-BA2D58E1,42208.8,2026-08-13
TXN-21049C68,35582.62,2026-08-18
TXN-DF834154,5925.43,2026-08-13
TXN-A15DEBFF,36209.31,2026-08-23
TXN-B9BA338A,2062.74,2026-08-05
TXN-15474DAA,20795.03,2026-08-01
TXN-FC8144C5,23367.53,2026-08-17
TXN-945C1E5A,28263.9,2026-08-09
TXN-7DDDEC85,45650.15,2026-08-14
TXN-0485E7A9,47888.2,2026-08-22
TXN-7F3B670C,10760.25,2026-08-14
TXN-3D92CD52,46757.03,2026-08-12
txn-ecb681d5,27387.95,2026-08-04
TXN-6F1E04AB,4318.22,2026-08-02
TXN-02235480,30976.01,2026-08-09
TXN-0FA6DDA1,26786.55,2026-08-02
TXN-EF36F1AF,35288.99,2026-08-04
TXN-D6926E8A,10373.07,2026-08-16
TXN-27481E04,28341.16,2026-08-02
TXN-402AC942,49460.42,2026-08-13
TXN-F4CF7EC0,10044.16,2026-08-17
TXN-CDA0DD1F,35339.2,2026-08-15
TXN-16707CF1,10061.48,2026-08-19
TXN-D00F7612,16397.67,2026-08-13
TXN-C5657615,46823.36,2026-08-05
TXN-79E97A01,13716.22,2026-08-08
TXN-F4BEBCDF,32857.33,2026-08-19
TXN-15A2E7B0,8405.98,2026-08-07
TXN-380E8894,46120.18,2026-08-04
TXN-69561589,23021.44,2026-08-05
25587D0D,27107.13,2026-08-18
TXN-A0A63761,27608.64,2026-08-04
TXN-D32CBA6B,16741.82,2026-08-18
TXN-229777E5,24696.98,2026-08-07
TXN-5E65BA1B,25905.77,2026-08-06
TXN-4EB76989,20099.46,2026-08-10
TXN-60900F21,2681.51,2026-08-07
TXN-EBCA69A7,23867.52,2026-08-02
TXN-38BEEE88,32471.1,2026-08-05
TXN-09CCFE8E,45897.2,2026-08-13
TXN-92EA5A23,43084.19,2026-08-18
txn-b0838a60,6803.68,2026-08-18
TXN-E11D029A,27450.04,2026-08-15
TXN-96A7067A,17634.91,2026-08-08
GW/TXN-8A98BC6C,33179.79,2026-08-04
TXN-527F97DD,29900.24,2026-08-08
TXN-03DEA68D,20412.13,2026-08-09
TXN-C79AE5DE,12091.0,2026-08-08
TXN-44E445D3,7591.39,2026-08-12
TXN-957FBE9B,28057.55,2026-08-10
TXN-BFA298AB,21646.43,2026-08-06
TXN-AEF72A18,19367.15,2026-08-12
GW/TXN-664D16F5,15344.48,2026-08-14
TXN-F83540AA,35525.05,2026-08-09
TXN-670FF7B8,28085.69,2026-08-18
GW/TXN-13F215D5,32511.94,2026-08-09
TXN-C17CC21F,33846.76,2026-08-02
TXN-ECEA376C,37439.84,2026-08-03
TXN-8B1F66B4,45398.12,2026-08-16
TXN-3A804EC0,9906.17,2026-08-01
TXN-7A18424C,30417.88,2026-08-16
TXN-C014AFB2,38887.94,2026-08-11
TXN-E96457EC,25884.42,2026-08-14
TXN-49D00732,15989.64,2026-08-13
TXN-EB2A7F6E,27888.92,2026-08-09
TXN-ED12E464,16828.33,2026-08-12
TXN-A8E59894,47201.49,2026-08-16
TXN-DC9765D4,37109.91,2026-08-16
TXN-E546F2C5,36155.52,2026-08-12
90244B5A,26435.25,2026-08-18
TXN-5C4D325D,31085.29,2026-08-14
TXN-BE8AAFA8,18588.46,2026-08-07
TXN-28F94E51,1278.72,2026-08-17
TXN-35A59729,14099.67,2026-08-01
TXN-154A822D,45943.42,2026-08-14
TXN-19BBC830,12994.7,2026-08-07
TXN-D55CD48C,47985.24,2026-08-15
TXN-DF7796FF,19273.57,2026-08-03
CBA26EA4,42343.82,2026-08-06
TXN-E7F89053,43471.79,2026-08-09
TXN-E56E5ACD,14378.46,2026-08-04
TXN-E63E42F0,48092.72,2026-08-06
TXN-86D73D9E,8541.29,2026-08-17
txn-a9f8c9bf,37902.66,2026-08-18
TXN-65157CF4,11991.13,2026-08-02
TXN-F035B838,48461.57,2026-08-20
TXN-ADF3DC89,11792.85,2026-08-09
TXN-9703A653,29500.82,2026-08-14
TXN-30AD8F79,12699.26,2026-08-20
TXN-1CCEDC99,38506.52,2026-08-05
TXN-8292FECC,757.16,2026-08-12
TXN-731E9A70,4821.21,2026-08-09
TXN-C9284266,5613.0,2026-08-18
TXN-E64C6F07,39329.72,2026-08-03
TXN-D2145D9C,8894.35,2026-08-08
TXN-163AA767,24909.64,2026-08-09
TXN-884D14BA,24469.45,2026-08-09
TXN-21CEAB48,25042.22,2026-08-08
TXN-74F9D751,834.98,2026-08-04
TXN-2336ADD5,43178.82,2026-08-20
TXN-842CC16A,16372.93,2026-08-20
TXN-6517FFAA,47477.36,2026-08-11
TXN-6C51497F,12500.0,2026-08-16
TXN-0782624F,46637.32,2026-08-15
TXN-DC6BC351,23350.3,2026-08-18
GW/TXN-D64D080B,41038.8,2026-08-10
TXN-25EE74CC,33103.82,2026-08-10
TXN-C0AEDDF7,49539.68,2026-08-17
TXN-96465921,48437.19,2026-08-18
GW/TXN-B46EDAD5,45762.86,2026-08-18
TXN-7AC26321,48194.84,2026-08-20
TXN-63D924AF,5381.02,2026-08-16
TXN-A18EE96F,23421.63,2026-08-17
TXN-131705B6,47063.47,2026-08-03
TXN-009C3678,10739.93,2026-08-11
TXN-17C183BA,34989.78,2026-08-04
TXN-3C5F0BA9,1580.1,2026-08-02
TXN-B3854923,26041.7,2026-08-06
TXN-7CA84D32,11737.26,2026-08-18
TXN-1D70C66D,37000.72,2026-08-14
TXN-F7CE8D9D,35384.41,2026-08-14
TXN-D1D41042,40075.37,2026-08-03
TXN-07315AD0,6140.77,2026-08-11
TXN-7C6964CC,30050.06,2026-08-17
TXN-AAE1685A,42353.13,2026-08-04
TXN-7FB69563,4695.22,2026-08-10
TXN-3C8ED3EA,9560.7,2026-08-08
TXN-96B1FB12,7324.43,2026-08-13
TXN-53587D34,24737.28,2026-08-06
TXN-35075909,43343.35,2026-08-17
TXN-EC7FEF63,32160.41,2026-08-13
txn-fc5897f5,4592.2,2026-08-15
0620E9D8,27111.63,2026-08-02
TXN-0DCDBE4E,36089.52,2026-08-18
TXN-8EF95A66,41588.5,2026-08-14
TXN-F0743A74,17754.56,2026-08-02
TXN-FFD789F3,39811.68,2026-08-04
8F3BCED2,8716.09,2026-08-20
TXN-169FB9C8,14413.71,2026-08-19
TXN-2CD4AAAC,13733.48,2026-08-11
TXN-2451C65C,3434.65,2026-08-05
TXN-E3A6DA18,6926.79,2026-08-05
TXN-20D475A6,28490.91,2026-08-13
TXN-8F7CEE93,39832.63,2026-08-15
TXN-43350398,34887.83,2026-08-17
TXN-AE75B5B5 ,622.42,2026-08-16
TXN-BD387D14,26954.01,2026-08-12
TXN-77D21923,16481.82,2026-08-07
TXN-5FD3D9E5,42694.92,2026-08-19
TXN-9B019B27,31495.89,2026-08-03
TXN-994E1CCD,533.46,2026-08-06
TXN-8E07D6AB,8369.38,2026-08-05
TXN-094FDA5E,18906.27,2026-08-12
TXN-AA799333,36436.42,2026-08-13
TXN-642F5266,553.77,2026-08-03
TXN-8D7F96E8,34159.14,2026-08-19
TXN-51D9B3A3,21404.54,2026-08-13
TXN-7168EBF1,40394.86,2026-08-13
TXN-096E80B0,38786.29,2026-08-10
TXN-401F0803,27805.26,2026-08-05
TXN-27A3FAEF,43068.14,2026-08-20
TXN-9CFF5809,36635.45,2026-08-05
TXN-850BE13F,14209.9,2026-08-11
TXN-D66E8FFA,30575.86,2026-08-20
TXN-E9B195AB,15122.96,2026-08-01
TXN-C36F9692,3201.17,2026-08-13
TXN-63B786FF,12433.55,2026-08-17
TXN-3B3A63B5,19648.49,2026-08-15
TXN-6AB74D72,38254.93,2026-08-18
TXN-05F36699 ,31614.25,2026-08-13
TXN-8FA17D70,27113.94,2026-08-03
TXN-00BA7ED0,46085.78,2026-08-10
TXN-2CE7A8AC,31254.12,2026-08-11
TXN-0965AECA,22155.56,2026-08-03
TXN-D458E85C,21566.75,2026-08-08
TXN-7C71C2F1,33073.59,2026-08-10
TXN-32EDE8C2,8609.72,2026-08-08
TXN-4B0E95C8,37613.93,2026-08-06
TXN-1F22E802,40451.84,2026-08-07
TXN-98FF3192,25059.3,2026-08-19
GW/TXN-EDEE1297,18700.55,2026-08-16
TXN-02E8F1F2,43005.11,2026-08-17
TXN-94CCD1E6,44825.55,2026-08-02
TXN-F013F3AB,45834.81,2026-08-11
TXN-05C2B6B2,26030.82,2026-08-06
TXN-E8726F60,14474.19,2026-08-03
TXN-43A52BA8,894.47,2026-08-03
TXN-D9DAB601,12507.91,2026-08-14
TXN-455B2F14,27554.68,2026-08-07
TXN-7273B391,11787.22,2026-08-01
29452B4F,38066.99,2026-08-01
TXN-824D1C55,5104.82,2026-08-05
2FB0B598,25518.67,2026-08-03
TXN-5DFF90A9,12220.2,2026-08-14
TXN-3E170ED9,36899.97,2026-08-15
TXN-E7797820,39106.88,2026-08-03
TXN-5312D6B2,23569.73,2026-08-04
TXN-FE96B01D,15761.23,2026-08-12
TXN-83D21971,33765.02,2026-08-03
TXN-214FEF0D,42900.38,2026-08-02
TXN-1A9B1ED0,25916.25,2026-08-08
TXN-6F178D78,41946.65,2026-08-06
TXN-4C58F26B,40292.89,2026-08-04
TXN-B068560A,10307.59,2026-08-02
TXN-9C9C44CD,13311.62,2026-08-03
TXN-CC034BF2,32476.35,2026-08-03
TXN-32B2B8C7,47142.89,2026-08-11
TXN-49EA2E7B,36359.33,2026-08-19
TXN-E3CF80BB,11128.45,2026-08-14
TXN-15CB21C4,30898.28,2026-08-15
TXN-1B704CD0,44197.54,2026-08-10
TXN-C3841115,21252.12,2026-08-09
txn-a80ef91c,49707.32,2026-08-17
TXN-AEAE2EB2,24491.63,2026-08-20
TXN-B7D728E3,16284.44,2026-08-09
TXN-0CCC20E1,49580.8,2026-08-09
TXN-F2358D44,5456.65,2026-08-19
TXN-00FC17BC,38320.46,2026-08-22
26726065,12209.28,2026-08-12
txn-f01f12b9,7534.06,2026-08-12
TXN-F7F8E9D3,4868.34,2026-08-06
TXN-CA52390C,16920.83,2026-08-17
2A0CD768,9284.26,2026-08-05
8A4A5EEF,35382.47,2026-08-01
TXN-188FF7CF,20081.98,2026-08-12
txn-39558d7f,36751.43,2026-08-11
GW/TXN-2E1DE8A6,34831.24,2026-08-06
TXN-11DBDB5B,34580.67,2026-08-13
TXN-072A9AED,19884.27,2026-08-01
TXN-6805B9D6,16251.74,2026-08-02
TXN-01EA4687,5653.46,2026-08-08
TXN-79C4FF76,48145.18,2026-08-03
TXN-5F6606A5,13345.46,2026-08-11
TXN-1E853BCB,563.42,2026-08-09
TXN-E32F99EA,20993.95,2026-08-14
TXN-1A1C48CA,24234.72,2026-08-15
TXN-1429F19A,40060.13,2026-08-06
TXN-08AA867A,4172.92,2026-08-11
TXN-D148157F,27578.79,2026-08-06
TXN-49D285BE,2034.16,2026-08-20
